O*NET-SOC Code,Title,Attribute Type,Element ID,Element Name,Scale Name,Data Value
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.5
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.c,Recognition,Extent,5.33
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.d,Relationships,Extent,4.33
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.e,Support,Extent,5.67
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.f,Independence,Extent,5.0
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,5.0
11-3021.00,Computer and Information Systems Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,1.0
11-3031.00,Financial Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-3031.00,Financial Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-3031.00,Financial Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3031.00,Financial Managers,Work Values,1.B.2.d,Relationships,Extent,5.0
11-3031.00,Financial Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-3031.00,Financial Managers,Work Values,1.B.2.f,Independence,Extent,6.0
11-3031.00,Financial Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3031.00,Financial Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-3031.00,Financial Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.a,Achievement,Extent,5.67
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.b,Working Conditions,Extent,5.83
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.c,Recognition,Extent,5.0
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.d,Relationships,Extent,4.0
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.e,Support,Extent,5.33
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-3031.01,Treasurers and Controllers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-3031.03,Investment Fund Managers,Work Values,1.B.2.a,Achievement,Extent,6.0
11-3031.03,Investment Fund Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.33
11-3031.03,Investment Fund Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3031.03,Investment Fund Managers,Work Values,1.B.2.d,Relationships,Extent,5.0
11-3031.03,Investment Fund Managers,Work Values,1.B.2.e,Support,Extent,4.33
11-3031.03,Investment Fund Managers,Work Values,1.B.2.f,Independence,Extent,5.33
11-3031.03,Investment Fund Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,1.0
11-3031.03,Investment Fund Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,3.0
11-3031.03,Investment Fund Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.a,Achievement,Extent,5.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.67
11-3051.00,Industrial Production Managers,Work Values,1.B.2.c,Recognition,Extent,5.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.d,Relationships,Extent,5.33
11-3051.00,Industrial Production Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.f,Independence,Extent,6.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-3051.00,Industrial Production Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,4.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.a,Achievement,Extent,5.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.b,Working Conditions,Extent,4.5
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.c,Recognition,Extent,4.67
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.d,Relationships,Extent,4.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.e,Support,Extent,5.33
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.f,Independence,Extent,5.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,5.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-3051.01,Quality Control Systems Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.a,Achievement,Extent,6.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.c,Recognition,Extent,6.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.d,Relationships,Extent,4.67
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,3.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-3051.02,Geothermal Production Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.a,Achievement,Extent,5.67
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.d,Relationships,Extent,4.33
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.e,Support,Extent,4.33
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.f,Independence,Extent,5.33
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-3051.03,Biofuels Production Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.a,Achievement,Extent,5.67
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.d,Relationships,Extent,4.33
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.f,Independence,Extent,5.33
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-3051.04,Biomass Power Plant Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.a,Achievement,Extent,6.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.d,Relationships,Extent,4.67
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,1.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-3051.06,Hydroelectric Production Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,3.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.a,Achievement,Extent,4.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.33
11-3061.00,Purchasing Managers,Work Values,1.B.2.c,Recognition,Extent,4.33
11-3061.00,Purchasing Managers,Work Values,1.B.2.d,Relationships,Extent,4.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.f,Independence,Extent,4.67
11-3061.00,Purchasing Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,5.0
11-3061.00,Purchasing Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.a,Achievement,Extent,4.44
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.b,Working Conditions,Extent,5.17
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.c,Recognition,Extent,4.22
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.d,Relationships,Extent,5.33
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.e,Support,Extent,4.78
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.f,Independence,Extent,5.22
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-3071.00,"Transportation, Storage, and Distribution Managers",Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-3071.04,Supply Chain Managers,Work Values,1.B.2.a,Achievement,Extent,4.67
11-3071.04,Supply Chain Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.17
11-3071.04,Supply Chain Managers,Work Values,1.B.2.c,Recognition,Extent,4.33
11-3071.04,Supply Chain Managers,Work Values,1.B.2.d,Relationships,Extent,4.33
11-3071.04,Supply Chain Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-3071.04,Supply Chain Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3071.04,Supply Chain Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-3071.04,Supply Chain Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-3071.04,Supply Chain Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,5.0
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.67
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.c,Recognition,Extent,5.0
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.d,Relationships,Extent,6.0
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.e,Support,Extent,5.67
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,5.0
11-3111.00,Compensation and Benefits Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-3121.00,Human Resources Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-3121.00,Human Resources Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.33
11-3121.00,Human Resources Managers,Work Values,1.B.2.c,Recognition,Extent,5.67
11-3121.00,Human Resources Managers,Work Values,1.B.2.d,Relationships,Extent,6.0
11-3121.00,Human Resources Managers,Work Values,1.B.2.e,Support,Extent,4.33
11-3121.00,Human Resources Managers,Work Values,1.B.2.f,Independence,Extent,5.0
11-3121.00,Human Resources Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-3121.00,Human Resources Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,3.0
11-3121.00,Human Resources Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-3131.00,Training and Development Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.67
11-3131.00,Training and Development Managers,Work Values,1.B.2.c,Recognition,Extent,5.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.d,Relationships,Extent,6.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.e,Support,Extent,4.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.f,Independence,Extent,5.33
11-3131.00,Training and Development Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-3131.00,Training and Development Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,1.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.a,Achievement,Extent,4.89
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.b,Working Conditions,Extent,4.67
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.c,Recognition,Extent,4.44
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.d,Relationships,Extent,4.66
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.e,Support,Extent,3.22
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.f,Independence,Extent,5.22
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-9021.00,Construction Managers,Work Values,1.B.2.a,Achievement,Extent,5.33
11-9021.00,Construction Managers,Work Values,1.B.2.b,Working Conditions,Extent,5.83
11-9021.00,Construction Managers,Work Values,1.B.2.c,Recognition,Extent,4.67
11-9021.00,Construction Managers,Work Values,1.B.2.d,Relationships,Extent,5.0
11-9021.00,Construction Managers,Work Values,1.B.2.e,Support,Extent,5.33
11-9021.00,Construction Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-9021.00,Construction Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,2.0
11-9021.00,Construction Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-9021.00,Construction Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,5.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.a,Achievement,Extent,5.67
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.b,Working Conditions,Extent,4.67
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.c,Recognition,Extent,4.67
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.d,Relationships,Extent,6.67
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.e,Support,Extent,3.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.f,Independence,Extent,5.67
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.a,Achievement,Extent,5.67
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.c,Recognition,Extent,5.67
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.d,Relationships,Extent,6.33
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.e,Support,Extent,4.33
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.f,Independence,Extent,6.33
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,4.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.a,Achievement,Extent,6.0
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.b,Working Conditions,Extent,5.83
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.c,Recognition,Extent,5.33
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.d,Relationships,Extent,6.0
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.e,Support,Extent,4.33
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.f,Independence,Extent,6.33
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,1.0
11-9033.00,"Education Administrators, Postsecondary",Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,4.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.a,Achievement,Extent,6.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.c,Recognition,Extent,5.33
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.d,Relationships,Extent,4.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.e,Support,Extent,5.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.f,Independence,Extent,6.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,1.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,6.0
11-9041.00,Architectural and Engineering Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,2.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.a,Achievement,Extent,6.67
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.b,Working Conditions,Extent,6.17
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.c,Recognition,Extent,5.33
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.d,Relationships,Extent,3.33
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.e,Support,Extent,3.67
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.f,Independence,Extent,6.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,1.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,2.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Work Values,1.B.2.i,Third Work Value High-Point,Work Value High-Point,6.0
11-9051.00,Food Service Managers,Work Values,1.B.2.a,Achievement,Extent,4.33
11-9051.00,Food Service Managers,Work Values,1.B.2.b,Working Conditions,Extent,4.5
11-9051.00,Food Service Managers,Work Values,1.B.2.c,Recognition,Extent,4.33
11-9051.00,Food Service Managers,Work Values,1.B.2.d,Relationships,Extent,4.67
11-9051.00,Food Service Managers,Work Values,1.B.2.e,Support,Extent,4.67
11-9051.00,Food Service Managers,Work Values,1.B.2.f,Independence,Extent,5.67
11-9051.00,Food Service Managers,Work Values,1.B.2.g,First Work Value High-Point,Work Value High-Point,6.0
11-9051.00,Food Service Managers,Work Values,1.B.2.h,Second Work Value High-Point,Work Value High-Point,4.0
